Tumorsubtype,Feature,Effect Size,Pvalue,Tumor subtype
,PGR,0.9999996859088814,0.7743137875749051,LAR
,Angiogenesis,0.9999650463640589,0.3780740644186318,LAR
,DNA repair,1.0000152561372906,0.8650745006823914,LAR
,ATM,0.999961952007108,0.02003163579353871,LAR
,MYC targets v1,0.9998288571293451,0.06617446059151175,LAR
,CMP,1.0000040210007366,0.11849471399653086,LAR
,GENE70,8.779006898324166e-12,4.713075789211384e-06,LAR
,Androgen response,1332.447385087252,3.6518956472047e-06,LAR
,DNMT1,0.0033994236759928138,0.004425424269180555,LAR
,wound-myCAF,0.9999802932241207,0.9745839732241649,LAR
,CD4+ naive T-cells,0.999994893645807,0.8650745006823914,LAR
,MPP,1.0000037654203644,0.08344441009571295,LAR
,MSH6,0.99989580633723,0.08156775950912243,LAR
,Neurons,0.9999960298574256,0.5520349606218804,LAR
,p53 pathway,1.000117728811104,0.01787321168868155,LAR
,MSH2,0.9999203771277958,0.13707189947201104,LAR
,Apical surface,0.9999166188028377,0.21404235788132753,LAR
,LAG3,0.9998363972994028,0.011486715876623548,LAR
,EGFR,1.0001459853486463,0.02869173282437534,LAR
,Inflammatory response,0.9998946498310846,0.28344686641071637,LAR
,CD4+ Tem,1.0000092982324558,0.9407404908579982,LAR
,NKG2A,0.9999967322179099,0.06310090164516648,LAR
,MSH3,1156470911.0996912,0.0414482413847767,LAR
,FANCM,0.9999993512561317,0.8650745006823914,LAR
,Epithelial mesenchymal transition,0.99985652300905,0.11116406487605032,LAR
,CD134,0.9999784004573304,0.057307331532249324,LAR
,TLS Lundeberg,0.9999997646262201,0.010169495079857503,LAR
,ESR1,1.0001286153928204,0.9703497798660837,LAR
,NBN,0.9999738428580215,0.37235523677616134,LAR
,GPNMB,0.999805353210463,0.023046956449691566,LAR
,Interferon gamma response,0.9998444911100784,0.39555263393092577,LAR
,CD4+ Tcm,0.9999945320937176,0.0954504090031436,LAR
,CD40,0.9999371996595172,0.057307331532249324,LAR
,Parpi7,0.999973233941212,0.0016099070451872657,LAR
,TIGIT,0.9999823589592135,0.10880167352218593,LAR
,ADA,0.9998898392551943,0.005052778391519477,LAR
,VISTA,0.9999336186731379,0.09335845912555737,LAR
,Peroxisome,71615.3890533481,2.6792829253374326e-06,LAR
,CDK4,1.0000193559946413,0.9322939232266249,LAR
,CLP,0.999990500270596,0.0913034563359301,LAR
